Category,Subcategory,Skill,,Level,,,,,,, 
,,PROGRAMMING/SOFTWARE DEVELOPMENT,PROG,,2,,,,,,     
,,,,,,3,,,,,     
,,,,,,,4,,,,     
,,,,,,,,5,,,     
,,ANIMATION DEVELOPMENT,ADEV,,,3,,,,,     
,,,,,,,4,,,,     
,,,,,,,,5,,,     
,,,,,,,,,6,,     
,,SAFETY ENGINEERING,SFEN,,,3,,,,,     
,,,,,,,4,,,,     
,,,,,,,,5,,,     
,,,,,,,,,6,,     
,,SUSTAINABILITY ENGINEERING,SUEN,,,,4,,,,     
,,,,,,,,5,,,     
,,,,,,,,,6,,     
,,INFORMATION CONTENT AUTHORING,INCA,1,,,,,,,     
,,,,,2,,,,,,     
,,,,,,3,,,,,     
,,,,,,,4,,,,     
,,,,,,,,5,,,     
,,,,,,,,,6,,     
,,TESTING,TEST,1,,,,,,,     
,,,,,2,,,,,,     
,,,,,,3,,,,,     
,,,,,,,4,,,,     
,,,,,,,,5,,,200023
,,,,,,,,,6,,  
,USER EXPERIENCE,USER EXPERIENCE ANALYSIS,UNAN,,,3,,,,,     
,,,,,,,4,,,,     
,,,,,,,,5,,,     
,,USER EXPERIENCE DESIGN,HCEV,,2,,,,,,     
,,,,,,3,,,,,     
,,,,,,,4,,,,     
,,,,,,,,5,,,     
,,USER EXPERIENCE EVALUATION,USEV,,2,,,,,,     
,,,,,,3,,,,,     
,,,,,,,4,,,,     
,,,,,,,,5,,,     
,INSTALLATION AND INTEGRATION,SYSTEMS INTEGRATION,SINT,,2,,,,,,     
,,,,,,3,,,,,     
,,,,,,,4,,,,     
,,,,,,,,5,,,     
,,,,,,,,,6,,     
,,PORTING/SOFTWARE INTEGRATION,PORT,,,3,,,,,     
,,,,,,,4,,,,     
,,,,,,,,5,,,     
,,,,,,,,,6,,     
,,HARDWARE DESIGN,HWDE,,,,4,,,,     
,,,,,,,,5,,,     
,,,,,,,,,6,,     
,,SYSTEMS INSTALLATION/DECOMMISSIONING,HSIN,1,,,,,,,     
,,,,,2,,,,,,     
,,,,,,3,,,,,     
,,,,,,,4,,,,     
,,,,,,,,5,,,     
DELIVERY AND OPERATION,SERVICE DESIGN,AVAILABILITY MANAGEMENT,AVMT,,,,4,,,,     
,,,,,,,,5,,,     
,,,,,,,,,6,,     
,,SERVICE LEVEL MANAGEMENT,SLMO,,2,,,,,,     
,,,,,,3,,,,,     
,,,,,,,4,,,,     
,,,,,,,,5,,,     
,,,,,,,,,6,,     
,,,,,,,,,,7,     
,SERVICE TRANSITION,SERVICE ACCEPTANCE,SEAC,,,,4,,,,     
,,,,,,,,5,,,     
,,,,,,,,,6,,     
,,CONFIGURATION MANAGEMENT,CFMG,,2,,,,,,     
,,,,,,3,,,,,     
,,,,,,,4,,,,     
,,,,,,,,5,,,     
,,,,,,,,,6,,     
,,ASSET MANAGEMENT,ASMG,,,,4,,,,     
,,,,,,,,5,,,     
,,,,,,,,,6,,     
,,CHANGE MANAGEMENT,CHMG,,2,,,,,,     
,,,,,,3,,,,,     
,,,,,,,4,,,,     
,,,,,,,,5,,,     
,,,,,,,,,6,,     
,,RELEASE AND DEPLOYMENT,RELM,,,3,,,,,     
,,,,,,,4,,,,     
,,,,,,,,5,,,     
,,,,,,,,,6,,     
,SERVICE OPERATION,SYSTEM SOFTWARE,SYSP,,,3,,,,,     
,,,,,,,4,,,,     
,,,,,,,,5,,,     
,,CAPACITY MANAGEMENT,CPMG,,,,4,,,,     
,,,,,,,,5,,,     
,,,,,,,,,6,,     
,,SECURITY ADMINISTRATION,SCAD,1,,,,,,,     
,,,,,2,,,,,,     
,,,,,,3,,,,,     
,,,,,,,4,,,,     
,,,,,,,,5,,,     
,,,,,,,,,6,,     
,,PENETRATION TESTING,PENT,,,,4,,,,     
,,,,,,,,5,,,     
,,,,,,,,,6,,     
,,RADIO FREQUENCY ENGINEERING,RFEN,,2,,,,,,     
,,,,,,3,,,,,     
,,,,,,,4,,,,     
,,,,,,,,5,,,     
,,,,,,,,,6,,     
,,APPLICATIONS SUPPORT,ASUP,,2,,,,,,200023
,,,,,,3,,,,,     
,,,,,,,4,,,,     
,,,,,,,,5,,,     
,,IT INFRASTRUCTURE,ITOP,1,,,,,,,     
,,,,,2,,,,,,     
,,,,,,3,,,,,     
,,,,,,,4,,,,     
,,DATABASE ADMINISTRATION,DBAD,,2,,,,,,     
,,,,,,3,,,,,     
,,,,,,,4,,,,     
,,,,,,,,5,,,     
,,STORAGE MANAGEMENT,STMG,,,3,,,,,     
,,,,,,,4,,,,     
,,,,,,,,5,,,     
,,,,,,,,,6,,     
,,NETWORK SUPPORT,NTAS,,2,,,,,,     
,,,,,,3,,,,,     
,,,,,,,4,,,,     
,,,,,,,,5,,,200023
,,PROBLEM MANAGEMENT,PBMG,,,3,,,,,     
,,,,,,,4,,,,     
,,,,,,,,5,,,     
,,INCIDENT MANAGEMENT,USUP,,2,,,,,,     
,,,,,,3,,,,,     
,,,,,,,4,,,,     
,,,,,,,,5,,,     
,,FACILITIES MANAGEMENT,DCMA,,,3,,,,,     
,,,,,,,4,,,,     
,,,,,,,,5,,,     
,,,,,,,,,6,,     
SKILLS AND QUALITY,SKILLS MANAGEMENT,LEARNING AND DEVELOPMENT MANAGEMENT,ETMG,,,3,,,,,300673
,,,,,,,4,,,,     
,,,,,,,,5,,,     
,,,,,,,,,6,,     
,,,,,,,,,,7,     
,,LEARNING ASSESSMENT AND EVALUATION,LEDA,,,3,,,,,     
,,,,,,,4,,,,     
,,,,,,,,5,,,     
,,,,,,,,,6,,     
,,LEARNING DESIGN AND DEVELOPMENT,TMCR,,,,4,,,,     
,,,,,,,,5,,,     
,,,,,,,,,6,,     
,,LEARNING DELIVERY,ETDL,,,3,,,,,     
,,,,,,,4,,,,     
,,,,,,,,5,,,     
,,TEACHING AND SUBJECT FORMATION,TEAC,,,,,5,,,     
,,,,,,,,,6,,     
,PEOPLE MANAGEMENT,PERFORMANCE MANAGEMENT,PEMT,,,,4,,,,     
,,,,,,,,5,,,     
,,,,,,,,,6,,     
,,RESOURCING,RESC,,,,4,,,,     
,,,,,,,,5,,,     
,,,,,,,,,6,,     
,,PROFESSIONAL DEVELOPMENT,PDSV,,,,4,,,,     
,,,,,,,,5,,,     
,,,,,,,,,6,,     
,QUALITY AND CONFORMANCE,QUALITY MANAGEMENT,QUMG,,,,4,,,,     
,,,,,,,,5,,,     
,,,,,,,,,6,,     
,,,,,,,,,,7,     
,,QUALITY ASSURANCE,QUAS,,,3,,,,,     
,,,,,,,4,,,,     
,,,,,,,,5,,,     
,,,,,,,,,6,,     
,,QUALITY STANDARDS,QUST,,2,,,,,,300673
,,,,,,3,,,,,     
,,,,,,,4,,,,     
,,,,,,,,5,,,     
,,CONFORMANCE REVIEW,CORE,,,3,,,,,     
,,,,,,,4,,,,     
,,,,,,,,5,,,     
,,,,,,,,,6,,     
,,SAFETY ASSESSMENT,SFAS,,,,,5,,,     
,,,,,,,,,6,,     
,,DIGITAL FORENSICS,DGFS,,,,4,,,,     
,,,,,,,,5,,,     
,,,,,,,,,6,,     
RELATIONSHIPS AND ENGAGEMENT,STAKEHOLDER MANAGEMENT,SOURCING,SORC,,2,,,,,,     
,,,,,,3,,,,,     
,,,,,,,4,,,,     
,,,,,,,,5,,,     
,,,,,,,,,6,,     
,,CONTRACT MANAGEMENT,ITCM,,,,4,,,,     
,,,,,,,,5,,,     
,,,,,,,,,6,,     
,,STAKEHOLDER RELATIONSHIP MANAGEMENT,RLMT,,,,4,,,,     
,,,,,,,,5,,,     
,,,,,,,,,6,,     
,,,,,,,,,,7,     
,,CLIENT SERVICES MANAGEMENT,CSMG,,3,,,,,,     
,,,,,,,4,,,,     
,,,,,,,,5,,,     
,,,,,,,,,6,,     
,SALES AND MARKETING,DIGITAL MARKETING,MKTG,,,3,,,,,     
,,,,,,,4,,,,     
,,,,,,,,5,,,     
,,,,,,,,,6,,     
,,SELLING,SALE,,,,4,,,,     
,,,,,,,,5,,,     
,,,,,,,,,6,,     
,,SALES SUPPORT,SSUP,1,,,,,,,     
,,,,,2,,,,,,     
,,,,,,3,,,,,     
,,,,,,,4,,,,     
,,,,,,,,5,,,     
,,,,,,,,,6,,     
,,PRODUCT MANAGEMENT,PROD,,,3,,,,,     
,,,,,,,4,,,,     
,,,,,,,,5,,,     
,,,,,,,,,6,,     
STRATEGY AND ARCHITECTURE,INFORMATION STRATEGY,IT GOVERNANCE,GOVN,,,,,5,,,300585 300862*    
,,,,,,,,,6,,     
,,,,,,,,,,7,     
,,IT STRATEGY AND PLANNING,ITSP,,,,,5,,,300578* 300862*    
,,,,,,,,,6,,     
,,,,,,,,,,7,     
,,INFORMATION MANAGEMENT,IRMG,,,,4,,,,300578* 300580    
,,,,,,,,5,,,300862*     
,,,,,,,,,6,,     
,,,,,,,,,,7,     
,,INFORMATION SYSTEMS CO-ORDINATION,ISCO,,,,,,6,,300585 300862*    
,,,,,,,,,,7,     
,,INFORMATION SECURITY,SCTY,,,3,,,,,300580 300585    
,,,,,,,4,,,,     
,,,,,,,,5,,,     
,,,,,,,,,6,,     
,,,,,,,,,,7,     
,,INFORMATION ASSURANCE,INAS,,,,,5,,,300862*     
,,,,,,,,,6,,     
,,,,,,,,,,7,     
,,INFORMATION ANALYSIS,INAN,,,3,,,,,300491 300580    
,,,,,,,4,,,,     
,,,,,,,,5,,,300093*     
,,,,,,,,,6,,300585 300862*    
,,,,,,,,,,7,     
,,INFORMATION CONTENT PUBLISHING,ICPM,1,,,,,,,300580
,,,,,2,,,,,,300491
,,,,,,3,,,,,     
,,,,,,,4,,,,     
,,,,,,,,5,,,300862*     
,,,,,,,,,6,,     
,ADVICE AND GUIDANCE,CONSULTANCY,CNSL,,,,,5,,,300578* 300862*    
,,,,,,,,,6,,     
,,TECHNICAL SPECIALISM,TECH,,,,4,,,,300565 300578* 300580   
,,,,,,,,5,,,300862*     
,,,,,,,,,6,,     
,BUSINESS STRATEGY AND PLANNING,RESEARCH,RSCH,,2,,,,,,300580
,,,,,,3,,,,,300093* 300491    
,,,,,,,4,,,,     
,,,,,,,,5,,,300862*     
,,,,,,,,,6,,     
,,IT MANAGEMENT,ITMG,,,,,5,,,300578* 300862*    
,,,,,,,,,6,,     
,,FINANCIAL MANAGEMENT,FMIT,,,,4,,,,     
,,,,,,,,5,,,     
,,,,,,,,,6,,     
,,INNOVATION,INOV,,,,,5,,,300093* 300862*    
,,,,,,,,,6,,     
,,BUSINESS PROCESS IMPROVEMENT,BPRE,,,,,5,,,300862*     
,,,,,,,,,6,,300578*     
,,,,,,,,,,7,     
,,ENTERPRISE AND BUSINESS ARCHITECTURE DEVELOPMENT,STPL,,,,,5,,,300578* 300862*    
,,,,,,,,,6,,     
,,,,,,,,,,7,     
,,BUSINESS RISK MANAGEMENT,BURM,,,,4,,,,300578*     
,,,,,,,,5,,,300862*     
,,,,,,,,,6,,     
,,,,,,,,,,7,     
,,SUSTAINABILITY STRATEGY,SUST,,,,4,,,,     
,,,,,,,,5,,,300862*     
,,,,,,,,,6,,     
,TECHNICAL STRATEGY AND PLANNING,EMERGING TECHNOLOGY MONITORING,EMRG,,,,4,,,,300585
,,,,,,,,5,,,300093* 300862*    
,,,,,,,,,6,,     
,,CONTINUITY MANAGEMENT,COPL,,,,4,,,,     
,,,,,,,,5,,,     
,,SUSTAINABILITY MANAGEMENT FOR IT,SUMI,,,,,5,,,300578*     
,,,,,,,,,6,,     
,,NETWORK PLANNING,NTPL,,,,,5,,,     
,,,,,,,,,6,,     
,,SOLUTION ARCHITECTURE,ARCH,,,,,5,,,300578* 300862*    
,,,,,,,,,6,,     
,,DATA MANAGEMENT,DATM,,2,,,,,,300491 300580    
,,,,,,3,,,,,300093* 300585    
,,,,,,,4,,,,     
,,,,,,,,5,,,300862*     300104     
,,,,,,,,,6,,
,,METHODS AND TOOLS,METL,,,,4,,,,300585
,,,,,,,,5,,,300093* 300578*    300104 300862*   
,,,,,,,,,6,,
CHANGE AND TRANSFORMATION,BUSINESS CHANGE IMPLEMENTATION,PORTFOLIO MANAGEMENT,POMG,,,,,5,,,     
,,,,,,,,,6,,     
,,,,,,,,,,7,     
,,PROGRAMME MANAGEMENT,PGMG,,,,,,6,,     
,,,,,,,,,,7,     
,,PROJECT MANAGEMENT,PRMG,,,,4,,,,300578* 300862*    
,,,,,,,,5,,,     
,,,,,,,,,6,,     
,,"PORTFOLIO, PROGRAMME AND PROJECT SUPPORT",PROF,,2,,,,,,     
,,,,,,3,,,,,     
,,,,,,,4,,,,300862*     
,,,,,,,,5,,,     
,,,,,,,,,6,,     
,BUSINESS CHANGE MANAGEMENT,BUSINESS ANALYSIS,BUAN,,,3,,,,,300580
,,,,,,,4,,,,300578* 300585    
,,,,,,,,5,,,300862*     
,,,,,,,,,6,,     
,,REQUIREMENTS DEFINITION AND MANAGEMENT,REQM,,2,,,,,,300491
,,,,,,3,,,,,300578* 300580    
,,,,,,,4,,,,300585
,,,,,,,,5,,,300862*     
,,,,,,,,,6,,     
,,BUSINESS PROCESS TESTING,BPTS,,,,4,,,,300862*     
,,,,,,,,5,,,     
,,CHANGE IMPLEMENTATION PLANNING AND MANAGEMENT,CIPM,,,,,5,,,300578*     300862*   
,,,,,,,,,6,,  
,,ORGANISATION DESIGN AND IMPLEMENTATION,ORDI,,,,,5,,,300578*     
,,,,,,,,,6,,300862*     
,,BENEFITS MANAGEMENT,BENM,,,,,5,,,     
,,,,,,,,,6,,     
,,BUSINESS MODELLING,BSMO,,2,,,,,,300491
,,,,,,3,,,,,300578* 300580    
,,,,,,,4,,,,300585
,,,,,,,,5,,,300862*     
,,,,,,,,,6,,     
,,SUSTAINABILITY ASSESSMENT,SUAS,,,,4,,,,300862*     
,,,,,,,,5,,,     
,,,,,,,,,6,,     
 DEVELOPMENT AND IMPLEMENTATION,SYSTEMS DEVELOPMENT,SYSTEMS DEVELOPMENT MANAGEMENT,DLMG,,,,,5,,,300578* 300585    
,,,,,,,,,6,,300862*     
,,,,,,,,,,7,     
,,DATA ANALYSIS,DTAN,,2,,,,,,300491
,,,,,,3,,,,,300580
,,,,,,,4,,,,     
,,,,,,,,5,,,300862*     
,,SYSTEMS DESIGN,DESN,,2,,,,,,300491 300585    
,,,,,,3,,,,,     
,,,,,,,4,,,,300580
,,,,,,,,5,,,300862*
,,,,,,,,,6,,    
,,NETWORK DESIGN,NTDS,,,,,5,,,     
,,,,,,,,,6,,     
,,DATABASE/REPOSITORY DESIGN,DBDS,,2,,,,,,     
,,,,,,3,,,,,     
,,,,,,,4,,,,300585
,,,,,,,,5,,,300104
,,,,,,,,,6,,
,,PROGRAMMING/SOFTWARE DEVELOPMENT,PROG,,2,,,,,,300104 300565    
,,,,,,3,,,,,     
,,,,,,,4,,,,300093* 300580    
,,,,,,,,5,,,300862*     
,,ANIMATION DEVELOPMENT,ADEV,,,3,,,,,     
,,,,,,,4,,,,300093*     
,,,,,,,,5,,,300862*     
,,,,,,,,,6,,     
,,SAFETY ENGINEERING,SFEN,,,3,,,,,     
,,,,,,,4,,,,     
,,,,,,,,5,,,     
,,,,,,,,,6,,     
,,SUSTAINABILITY ENGINEERING,SUEN,,,,4,,,,     
,,,,,,,,5,,,     
,,,,,,,,,6,,     
,,INFORMATION CONTENT AUTHORING,INCA,1,,,,,,,     
,,,,,2,,,,,,300491 300580    
,,,,,,3,,,,,     
,,,,,,,4,,,,     
,,,,,,,,5,,,300862*     
,,,,,,,,,6,,
,,TESTING,TEST,1,,,,,,,300565 300585    
,,,,,2,,,,,,300104 300580    
,,,,,,3,,,,,     
,,,,,,,4,,,,300093* 300862*    
,,,,,,,,5,,,     
,,,,,,,,,6,,     
,USER EXPERIENCE,USER EXPERIENCE ANALYSIS,UNAN,,,3,,,,,300491
,,,,,,,4,,,,     
,,,,,,,,5,,,300862*     
,,USER EXPERIENCE DESIGN,HCEV,,2,,,,,,300491 300580    
,,,,,,3,,,,,300585
,,,,,,,4,,,,     
,,,,,,,,5,,,300862*     
,,USER EXPERIENCE EVALUATION,USEV,,2,,,,,,300491 300580    
,,,,,,3,,,,,300585
,,,,,,,4,,,,300862*     
,,,,,,,,5,,,     
,INSTALLATION AND INTEGRATION,SYSTEMS INTEGRATION,SINT,,2,,,,,,300580 300585    
,,,,,,3,,,,,     
,,,,,,,4,,,,     
,,,,,,,,5,,,300862*     
,,,,,,,,,6,,     
,,PORTING/SOFTWARE INTEGRATION,PORT,,,3,,,,,300585
,,,,,,,4,,,,     
,,,,,,,,5,,,300862*     
,,,,,,,,,6,,     
,,HARDWARE DESIGN,HWDE,,,,4,,,,     
,,,,,,,,5,,,     
,,,,,,,,,6,,     
,,SYSTEMS INSTALLATION/DECOMMISSIONING,HSIN,1,,,,,,,300565 300585    
,,,,,2,,,,,,     
,,,,,,3,,,,,300093*     
,,,,,,,4,,,,300862*     
,,,,,,,,5,,,     
DELIVERY AND OPERATION,SERVICE DESIGN,AVAILABILITY MANAGEMENT,AVMT,,,,4,,,,     
,,,,,,,,5,,,     
,,,,,,,,,6,,     
,,SERVICE LEVEL MANAGEMENT,SLMO,,2,,,,,,     
,,,,,,3,,,,,     
,,,,,,,4,,,,     
,,,,,,,,5,,,     
,,,,,,,,,6,,     
,,,,,,,,,,7,     
,SERVICE TRANSITION,SERVICE ACCEPTANCE,SEAC,,,,4,,,,     
,,,,,,,,5,,,     
,,,,,,,,,6,,     
,,CONFIGURATION MANAGEMENT,CFMG,,2,,,,,,     
,,,,,,3,,,,,     
,,,,,,,4,,,,     
,,,,,,,,5,,,     
,,,,,,,,,6,,     
,,ASSET MANAGEMENT,ASMG,,,,4,,,,     
,,,,,,,,5,,,     
,,,,,,,,,6,,     
,,CHANGE MANAGEMENT,CHMG,,2,,,,,,     
,,,,,,3,,,,,     
,,,,,,,4,,,,     
,,,,,,,,5,,,     
,,,,,,,,,6,,     
,,RELEASE AND DEPLOYMENT,RELM,,,3,,,,,     
,,,,,,,4,,,,     
,,,,,,,,5,,,     
,,,,,,,,,6,,     
,SERVICE OPERATION,SYSTEM SOFTWARE,SYSP,,,3,,,,,300580
,,,,,,,4,,,,     
,,,,,,,,5,,,300862*     
,,CAPACITY MANAGEMENT,CPMG,,,,4,,,,     
,,,,,,,,5,,,300862*     
,,,,,,,,,6,,     
,,SECURITY ADMINISTRATION,SCAD,1,,,,,,,     
,,,,,2,,,,,,300580
,,,,,,3,,,,,     
,,,,,,,4,,,,     
,,,,,,,,5,,,     
,,,,,,,,,6,,     
,,PENETRATION TESTING,PENT,,,,4,,,,     
,,,,,,,,5,,,     
,,,,,,,,,6,,     
,,RADIO FREQUENCY ENGINEERING,RFEN,,2,,,,,,     
,,,,,,3,,,,,     
,,,,,,,4,,,,     
,,,,,,,,5,,,     
,,,,,,,,,6,,     
,,APPLICATIONS SUPPORT,ASUP,,2,,,,,,300491
,,,,,,3,,,,,300580
,,,,,,,4,,,,300862*     
,,,,,,,,5,,,     
,,IT INFRASTRUCTURE,ITOP,1,,,,,,,     
,,,,,2,,,,,,     
,,,,,,3,,,,,300580
,,,,,,,4,,,,300862*     
,,DATABASE ADMINISTRATION,DBAD,,2,,,,,,300585
,,,,,,3,,,,,     
,,,,,,,4,,,,     
,,,,,,,,5,,,     
,,STORAGE MANAGEMENT,STMG,,,3,,,,,     
,,,,,,,4,,,,     
,,,,,,,,5,,,300862*     
,,,,,,,,,6,,     
,,NETWORK SUPPORT,NTAS,,2,,,,,,300565
,,,,,,3,,,,,     
,,,,,,,4,,,,     
,,,,,,,,5,,,     
,,PROBLEM MANAGEMENT,PBMG,,,3,,,,,300491 300580    
,,,,,,,4,,,,     
,,,,,,,,5,,,300862*     
,,INCIDENT MANAGEMENT,USUP,,2,,,,,,     
,,,,,,3,,,,,300580
,,,,,,,4,,,,     
,,,,,,,,5,,,300862*     
,,FACILITIES MANAGEMENT,DCMA,,,3,,,,,     
,,,,,,,4,,,,     
,,,,,,,,5,,,     
,,,,,,,,,6,,     
SKILLS AND QUALITY,SKILLS MANAGEMENT,LEARNING AND DEVELOPMENT MANAGEMENT,ETMG,,,3,,,,,     
,,,,,,,4,,,,     
,,,,,,,,5,,,     
,,,,,,,,,6,,     
,,,,,,,,,,7,     
,,LEARNING ASSESSMENT AND EVALUATION,LEDA,,,3,,,,,     
,,,,,,,4,,,,     
,,,,,,,,5,,,     
,,,,,,,,,6,,     
,,LEARNING DESIGN AND DEVELOPMENT,TMCR,,,,4,,,,     
,,,,,,,,5,,,300093*     
,,,,,,,,,6,,     
,,LEARNING DELIVERY,ETDL,,,3,,,,,     
,,,,,,,4,,,,     
,,,,,,,,5,,,     
,,TEACHING AND SUBJECT FORMATION,TEAC,,,,,5,,,     
,,,,,,,,,6,,     
,PEOPLE MANAGEMENT,PERFORMANCE MANAGEMENT,PEMT,,,,4,,,,300578*     
,,,,,,,,5,,,     
,,,,,,,,,6,,     
,,RESOURCING,RESC,,,,4,,,,300585
,,,,,,,,5,,,     
,,,,,,,,,6,,     
,,PROFESSIONAL DEVELOPMENT,PDSV,,,,4,,,,300093* 300578*    
,,,,,,,,5,,,     
,,,,,,,,,6,,     
,QUALITY AND CONFORMANCE,QUALITY MANAGEMENT,QUMG,,,,4,,,,     
,,,,,,,,5,,,     
,,,,,,,,,6,,     
,,,,,,,,,,7,     
,,QUALITY ASSURANCE,QUAS,,,3,,,,,300585
,,,,,,,4,,,,     
,,,,,,,,5,,,     
,,,,,,,,,6,,     
,,QUALITY STANDARDS,QUST,,2,,,,,,     
,,,,,,3,,,,,300093*     
,,,,,,,4,,,,     
,,,,,,,,5,,,     
,,CONFORMANCE REVIEW,CORE,,,3,,,,,     
,,,,,,,4,,,,     
,,,,,,,,5,,,     
,,,,,,,,,6,,     
,,SAFETY ASSESSMENT,SFAS,,,,,5,,,     
,,,,,,,,,6,,     
,,DIGITAL FORENSICS,DGFS,,,,4,,,,     
,,,,,,,,5,,,     
,,,,,,,,,6,,     
RELATIONSHIPS AND ENGAGEMENT,STAKEHOLDER MANAGEMENT,SOURCING,SORC,,2,,,,,,     
,,,,,,3,,,,,     
,,,,,,,4,,,,     
,,,,,,,,5,,,     
,,,,,,,,,6,,     
,,CONTRACT MANAGEMENT,ITCM,,,,4,,,,     
,,,,,,,,5,,,     
,,,,,,,,,6,,     
,,STAKEHOLDER RELATIONSHIP MANAGEMENT,RLMT,,,,4,,,,300578*     
,,,,,,,,5,,,     
,,,,,,,,,6,,     
,,,,,,,,,,7,     
,,CLIENT SERVICES MANAGEMENT,CSMG,,3,,,,,,     
,,,,,,,4,,,,     
,,,,,,,,5,,,     
,,,,,,,,,6,,     
,SALES AND MARKETING,DIGITAL MARKETING,MKTG,,,3,,,,,     
,,,,,,,4,,,,     
,,,,,,,,5,,,     
,,,,,,,,,6,,     
,,SELLING,SALE,,,,4,,,,     
,,,,,,,,5,,,     
,,,,,,,,,6,,     
,,SALES SUPPORT,SSUP,1,,,,,,,     
,,,,,2,,,,,,     
,,,,,,3,,,,,     
,,,,,,,4,,,,     
,,,,,,,,5,,,     
,,,,,,,,,6,,     
,,PRODUCT MANAGEMENT,PROD,,,3,,,,,     
,,,,,,,4,,,,     
,,,,,,,,5,,,     
,,,,,,,,,6,,     
STRATEGY AND ARCHITECTURE,INFORMATION STRATEGY,IT GOVERNANCE,GOVN,,,,,5,,,300138
,,,,,,,,,6,,300166* 300575*    
,,,,,,,,,,7,     
,,IT STRATEGY AND PLANNING,ITSP,,,,,5,,,300952*     
,,,,,,,,,6,,300138 300166* 300575*   
,,,,,,,,,,7,     
,,INFORMATION MANAGEMENT,IRMG,,,,4,,,,     
,,,,,,,,5,,,300138
,,,,,,,,,6,,300166* 300575*    
,,,,,,,,,,7,     
,,INFORMATION SYSTEMS CO-ORDINATION,ISCO,,,,,,6,,300138 300166* 300575*   
,,,,,,,,,,7,     
,,INFORMATION SECURITY,SCTY,,,3,,,,,300952*     
,,,,,,,4,,,,     
,,,,,,,,5,,,     
,,,,,,,,,6,,300138 300166* 300575*  300143*      
,,,,,,,,,,7,
,,INFORMATION ASSURANCE,INAS,,,,,5,,,300138
,,,,,,,,,6,,300143* 300166* 300575*   
,,,,,,,,,,7,     
,,INFORMATION ANALYSIS,INAN,,,3,,,,,300138 300575*    
,,,,,,,4,,,,     
,,,,,,,,5,,,     
,,,,,,,,,6,,300166*     
,,,,,,,,,,7,     
,,INFORMATION CONTENT PUBLISHING,ICPM,1,,,,,,,     
,,,,,2,,,,,,300138
,,,,,,3,,,,,     
,,,,,,,4,,,,     
,,,,,,,,5,,,     
,,,,,,,,,6,,     
,ADVICE AND GUIDANCE,CONSULTANCY,CNSL,,,,,5,,,300138 300143*    300166* 300575*    
,,,,,,,,,6,,
,,TECHNICAL SPECIALISM,TECH,,,,4,,,,300565 300952*    
,,,,,,,,5,,,300095* 300143*    300166* 300575*    
,,,,,,,,,6,,
,BUSINESS STRATEGY AND PLANNING,RESEARCH,RSCH,,2,,,,,,300575*     
,,,,,,3,,,,,     
,,,,,,,4,,,,     
,,,,,,,,5,,,     
,,,,,,,,,6,,     
,,IT MANAGEMENT,ITMG,,,,,5,,,300138     300166* 300575*   
,,,,,,,,,6,,
,,FINANCIAL MANAGEMENT,FMIT,,,,4,,,,300575*     
,,,,,,,,5,,,     
,,,,,,,,,6,,     
,,INNOVATION,INOV,,,,,5,,,300952*     
,,,,,,,,,6,,     
,,BUSINESS PROCESS IMPROVEMENT,BPRE,,,,,5,,,300138
,,,,,,,,,6,,     
,,,,,,,,,,7,     
,,ENTERPRISE AND BUSINESS ARCHITECTURE DEVELOPMENT,STPL,,,,,5,,,300138
,,,,,,,,,6,,300166*     
,,,,,,,,,,7,     
,,BUSINESS RISK MANAGEMENT,BURM,,,,4,,,,     
,,,,,,,,5,,,300138
,,,,,,,,,6,,     
,,,,,,,,,,7,     
,,SUSTAINABILITY STRATEGY,SUST,,,,4,,,,     
,,,,,,,,5,,,     
,,,,,,,,,6,,     
,TECHNICAL STRATEGY AND PLANNING,EMERGING TECHNOLOGY MONITORING,EMRG,,,,4,,,,300143* 300952* 300957*   
,,,,,,,,5,,,300575*     
,,,,,,,,,6,,     
,,CONTINUITY MANAGEMENT,COPL,,,,4,,,,300138 300575*    
,,,,,,,,5,,,     
,,SUSTAINABILITY MANAGEMENT FOR IT,SUMI,,,,,5,,,     
,,,,,,,,,6,,     
,,NETWORK PLANNING,NTPL,,,,,5,,,300095* 300138 300952*   300166* 300575*  
,,,,,,,,,6,,  
,,SOLUTION ARCHITECTURE,ARCH,,,,,5,,,300138 300143* 300575*   
,,,,,,,,,6,,     
,,DATA MANAGEMENT,DATM,,2,,,,,,300095* 300138 300143*   
,,,,,,3,,,,,     
,,,,,,,4,,,,300575*     
,,,,,,,,5,,,300166*     
,,,,,,,,,6,,     
,,METHODS AND TOOLS,METL,,,,4,,,,300095* 300952* 300957*   
,,,,,,,,5,,,300138 300143*    300166* 300575*    
,,,,,,,,,6,,
CHANGE AND TRANSFORMATION,BUSINESS CHANGE IMPLEMENTATION,PORTFOLIO MANAGEMENT,POMG,,,,,5,,,300138
,,,,,,,,,6,,     
,,,,,,,,,,7,     
,,PROGRAMME MANAGEMENT,PGMG,,,,,,6,,300138
,,,,,,,,,,7,     
,,PROJECT MANAGEMENT,PRMG,,,,4,,,,     
,,,,,,,,5,,,300138
,,,,,,,,,6,,     
,,"PORTFOLIO, PROGRAMME AND PROJECT SUPPORT",PROF,,2,,,,,,300138
,,,,,,3,,,,,     
,,,,,,,4,,,,     
,,,,,,,,5,,,     
,,,,,,,,,6,,     
,BUSINESS CHANGE MANAGEMENT,BUSINESS ANALYSIS,BUAN,,,3,,,,,300138
,,,,,,,4,,,,     
,,,,,,,,5,,,     
,,,,,,,,,6,,     
